filename	ATTRIBUTE_SampleType
P0-1.mzML	BLANK1
P0-2.mzML	BLANK1
P0-3.mzML	BLANK1
P1-1.mzML	SAMPLE1
P1-2.mzML	SAMPLE1
P1-3.mzML	SAMPLE1
P2-1.mzML	SAMPLE1
P2-2.mzML	SAMPLE1
P2-3.mzML	SAMPLE1
P3-1.mzML	SAMPLE1
P3-2.mzML	SAMPLE1
P3-3.mzML	SAMPLE1
P4-1.mzML	SAMPLE1
P4-2.mzML	SAMPLE1
P4-3.mzML	SAMPLE1
P5-1.mzML	SAMPLE1
P5-2.mzML	SAMPLE1
P5-3.mzML	SAMPLE1
T0-1.mzML	BLANK2
T0-2.mzML	BLANK2
T0-3.mzML	BLANK2
T1-1.mzML	SAMPLE2
T1-2.mzML	SAMPLE2
T1-3.mzML	SAMPLE2
T2-1.mzML	SAMPLE2
T2-2.mzML	SAMPLE2
T2-3.mzML	SAMPLE2
T3-1.mzML	SAMPLE2
T3-2.mzML	SAMPLE2
T3-3.mzML	SAMPLE2
T4-1.mzML	SAMPLE2
T4-2.mzML	SAMPLE2
T4-3.mzML	SAMPLE2
T5-1.mzML	SAMPLE2
T5-2.mzML	SAMPLE2
T5-3.mzML	SAMPLE2
PT0-1.mzML	BLANK3
PT0-2.mzML	BLANK3
PT0-3.mzML	BLANK3
PT1-1.mzML	SAMPLE3
PT1-2.mzML	SAMPLE3
PT1-3.mzML	SAMPLE3
PT2-1.mzML	SAMPLE3
PT2-2.mzML	SAMPLE3
PT2-3.mzML	SAMPLE3
PT3-1.mzML	SAMPLE3
PT3-2.mzML	SAMPLE3
PT3-3.mzML	SAMPLE3
PT4-1.mzML	SAMPLE3
PT4-2.mzML	SAMPLE3
PT4-3.mzML	SAMPLE3
PT5-1.mzML	SAMPLE3
PT5-2.mzML	SAMPLE3
PT5-3.mzML	SAMPLE3
